Date,First _Num,Second_Num,Thrid_Num,Fourth_Num,Fifth_Num,Six_Num,Additional_Num
15/1/2024,24,25,26,28,30,35,4
5/2/2024,14,17,20,25,28,37,13
26/2/2024,2,8,14,27,39,42,10
29/2/2024,1,14,28,44,45,49,16
25/3/2024,4,23,25,27,28,32,21
15/4/2024,5,10,28,36,41,42,19
27/5/2024,14,23,28,34,41,48,17
6/6/2024,4,5,10,14,35,43,12
13/6/2024,4,7,10,17,30,41,21
15/7/2024,4,6,17,32,37,41,10
18/7/2024,8,10,11,12,14,20,38
9/9/2024,1,4,10,16,18,29,6
17/10/2024,2,4,10,25,36,38,22
4/11/2024,14,18,25,28,29,44,36
7/11/2024,4,12,17,18,23,34,28
21/11/2024,4,7,11,14,21,28,36
9/12/2024,1,4,8,10,16,46,23
